original_name_id,reason,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes
ttn_018267,generated_patronymic,male,Муллабирде улы,Муллабирдеевич,Mullabirde uly,Mullabirdeevich,zags_2025,ev_0005948,active,patronymic
ttn_018268,generated_patronymic,female,Муллабирде кызы,Муллабирдеевна,Mullabirde kyzy,Mullabirdeevna,zags_2025,ev_0005949,active,patronymic
ttn_018276,generated_patronymic,male,Муллагали улы,Муллагалиевич,Mullagali uly,Mullagalievich,zags_2025,ev_0005951,active,patronymic
ttn_018277,generated_patronymic,female,Муллагали кызы,Муллагалиевна,Mullagali kyzy,Mullagalievna,zags_2025,ev_0005952,active,patronymic
ttn_018283,generated_patronymic,male,Муллагалим улы,Муллагалимович,Mullagalim uly,Mullagalimovich,zags_2025,ev_0005954,active,patronymic
ttn_018284,generated_patronymic,female,Муллагалим кызы,Муллагалимовна,Mullagalim kyzy,Mullagalimovna,zags_2025,ev_0005955,active,patronymic
ttn_018288,generated_patronymic,male,Муллагалләм улы,Муллагаллямович,Mullagallam uly,Mullagalliamovich,zags_2025,ev_0005957,active,patronymic
ttn_018289,generated_patronymic,female,Муллагалләм кызы,Муллагаллямовна,Mullagallam kyzy,Mullagalliamovna,zags_2025,ev_0005958,active,patronymic
ttn_018297,generated_patronymic,male,Муллагәрәй улы,Муллагараевич,Mullagaray uly,Mullagaraevich,zags_2025,ev_0005960,active,patronymic
ttn_018298,generated_patronymic,female,Муллагәрәй кызы,Муллагараевна,Mullagaray kyzy,Mullagaraevna,zags_2025,ev_0005961,active,patronymic
ttn_018308,generated_patronymic,male,Муллагол улы,Муллагулович,Mullagol uly,Mullagulovich,zags_2025,ev_0005963,active,patronymic
ttn_018309,generated_patronymic,female,Муллагол кызы,Муллагуловна,Mullagol kyzy,Mullagulovna,zags_2025,ev_0005964,active,patronymic
ttn_018318,generated_patronymic,male,Муллазыятдин улы,Муллазиятдинович,Mullazyyatdin uly,Mullaziiatdinovich,zags_2025,ev_0005966,active,patronymic
ttn_018319,generated_patronymic,female,Муллазыятдин кызы,Муллазиятдиновна,Mullazyyatdin kyzy,Mullaziiatdinovna,zags_2025,ev_0005967,active,patronymic
ttn_018328,generated_patronymic,male,Муллаҗан улы,Муллазянович,Mullacan uly,Mullazianovich,zags_2025,ev_0005969,active,patronymic
ttn_018329,generated_patronymic,female,Муллаҗан кызы,Муллазяновна,Mullacan kyzy,Mullazianovna,zags_2025,ev_0005970,active,patronymic
ttn_018335,generated_patronymic,male,Мулланур улы,Мулланурович,Mullanur uly,Mullanurovich,zags_2025,ev_0005972,active,patronymic
ttn_018336,generated_patronymic,female,Мулланур кызы,Муллануровна,Mullanur kyzy,Mullanurovna,zags_2025,ev_0005973,active,patronymic
ttn_018340,generated_patronymic,male,Мулласәлим улы,Мулласалимович,Mullasalim uly,Mullasalimovich,zags_2025,ev_0005975,active,patronymic
ttn_018341,generated_patronymic,female,Мулласәлим кызы,Мулласалимовна,Mullasalim kyzy,Mullasalimovna,zags_2025,ev_0005976,active,patronymic
ttn_018347,generated_patronymic,male,Мулласафа улы,Мулласафович,Mullasafa uly,Mullasafovich,zags_2025,ev_0005978,active,patronymic
ttn_018348,generated_patronymic,female,Мулласафа кызы,Мулласафовна,Mullasafa kyzy,Mullasafovna,zags_2025,ev_0005979,active,patronymic
ttn_018359,generated_patronymic,male,Муллахаммат улы,Муллахамматович,Mullaxammat uly,Mullakhammatovich,zags_2025,ev_0005981,active,patronymic
ttn_018360,generated_patronymic,female,Муллахаммат кызы,Муллахамматовна,Mullaxammat kyzy,Mullakhammatovna,zags_2025,ev_0005982,active,patronymic
ttn_018366,generated_patronymic,male,Муллахан улы,Муллаханович,Mullaxan uly,Mullakhanovich,zags_2025,ev_0005984,active,patronymic
ttn_018367,generated_patronymic,female,Муллахан кызы,Муллахановна,Mullaxan kyzy,Mullakhanovna,zags_2025,ev_0005985,active,patronymic
ttn_018371,generated_patronymic,male,Муллахәсән улы,Муллахасанович,Mullaxasan uly,Mullakhasanovich,zags_2025,ev_0005987,active,patronymic
ttn_018372,generated_patronymic,female,Муллахәсән кызы,Муллахасановна,Mullaxasan kyzy,Mullakhasanovna,zags_2025,ev_0005988,active,patronymic
ttn_018381,generated_patronymic,male,Муллашаһ улы,Муллашахович,Mullashah uly,Mullashakhovich,zags_2025,ev_0005990,active,patronymic
ttn_018382,generated_patronymic,female,Муллашаһ кызы,Муллашаховна,Mullashah kyzy,Mullashakhovna,zags_2025,ev_0005991,active,patronymic
ttn_018393,generated_patronymic,male,Муллаян улы,Муллаянович,Mullayan uly,Mullaianovich,zags_2025,ev_0005993,active,patronymic
ttn_018394,generated_patronymic,female,Муллаян кызы,Муллаяновна,Mullayan kyzy,Mullaianovna,zags_2025,ev_0005994,active,patronymic
ttn_018400,generated_patronymic,male,Муллаяр улы,Муллаярович,Mullayar uly,Mullaiarovich,zags_2025,ev_0005996,active,patronymic
ttn_018401,generated_patronymic,female,Муллаяр кызы,Муллаяровна,Mullayar kyzy,Mullaiarovna,zags_2025,ev_0005997,active,patronymic
ttn_018419,generated_patronymic,male,Мөнәвир улы,Мунавирович,Monavir uly,Munavirovich,zags_2025,ev_0005999,active,patronymic
ttn_018420,generated_patronymic,female,Мөнәвир кызы,Мунавировна,Monavir kyzy,Munavirovna,zags_2025,ev_0006000,active,patronymic
ttn_018425,generated_patronymic,male,Монасыйп улы,Мунасипович,Monasyyp uly,Munasipovich,zags_2025,ev_0006002,active,patronymic
ttn_018426,generated_patronymic,female,Монасыйп кызы,Мунасиповна,Monasyyp kyzy,Munasipovna,zags_2025,ev_0006003,active,patronymic
ttn_018432,generated_patronymic,male,Мөнип улы,Мунипович,Monip uly,Munipovich,zags_2025,ev_0006005,active,patronymic
ttn_018433,generated_patronymic,female,Мөнип кызы,Муниповна,Monip kyzy,Munipovna,zags_2025,ev_0006006,active,patronymic
ttn_018438,generated_patronymic,male,Мөнир улы,Мунирович,Monir uly,Munirovich,zags_2025,ev_0006008,active,patronymic
ttn_018439,generated_patronymic,female,Мөнир кызы,Мунировна,Monir kyzy,Munirovna,zags_2025,ev_0006009,active,patronymic
ttn_018444,generated_patronymic,male,Мөнис улы,Мунисович,Monis uly,Munisovich,zags_2025,ev_0006011,active,patronymic
ttn_018445,generated_patronymic,female,Мөнис кызы,Мунисовна,Monis kyzy,Munisovna,zags_2025,ev_0006012,active,patronymic
ttn_018450,generated_patronymic,male,Мөниф улы,Мунифович,Monif uly,Munifovich,zags_2025,ev_0006014,active,patronymic
ttn_018451,generated_patronymic,female,Мөниф кызы,Мунифовна,Monif kyzy,Munifovna,zags_2025,ev_0006015,active,patronymic
ttn_018455,generated_patronymic,male,Мөрәвәт улы,Мураватович,Moravat uly,Muravatovich,zags_2025,ev_0006017,active,patronymic
ttn_018456,generated_patronymic,female,Мөрәвәт кызы,Мураватовна,Moravat kyzy,Muravatovna,zags_2025,ev_0006018,active,patronymic
ttn_018457,missing_tatar_canonical,male,,Мурад,,Murad,tatar_unified_bootstrap,,active,bootstrap
ttn_018462,generated_patronymic,male,Мөрәсим улы,Мурасимович,Morasim uly,Murasimovich,zags_2025,ev_0006023,active,patronymic
ttn_018463,generated_patronymic,female,Мөрәсим кызы,Мурасимовна,Morasim kyzy,Murasimovna,zags_2025,ev_0006024,active,patronymic
ttn_018467,generated_patronymic,male,Мөрәс улы,Мурасович,Moras uly,Murasovich,zags_2025,ev_0006020,active,patronymic
ttn_018468,generated_patronymic,female,Мөрәс кызы,Мурасовна,Moras kyzy,Murasovna,zags_2025,ev_0006021,active,patronymic
ttn_018472,generated_patronymic,male,Моратбай улы,Муратбаевич,Moratbay uly,Muratbaevich,zags_2025,ev_0006029,active,patronymic
ttn_018473,generated_patronymic,female,Моратбай кызы,Муратбаевна,Moratbay kyzy,Muratbaevna,zags_2025,ev_0006030,active,patronymic
ttn_018478,generated_patronymic,male,Моратбакый улы,Муратбакиевич,Moratbakyy uly,Muratbakievich,zags_2025,ev_0006032,active,patronymic
ttn_018479,generated_patronymic,female,Моратбакый кызы,Муратбакиевна,Moratbakyy kyzy,Muratbakievna,zags_2025,ev_0006033,active,patronymic
ttn_018483,generated_patronymic,male,Моратбәк улы,Муратбекович,Moratbak uly,Muratbekovich,zags_2025,ev_0006035,active,patronymic
ttn_018484,generated_patronymic,female,Моратбәк кызы,Муратбековна,Moratbak kyzy,Muratbekovna,zags_2025,ev_0006036,active,patronymic
ttn_018488,generated_patronymic,male,Моратгали улы,Муратгалиевич,Moratgali uly,Muratgalievich,zags_2025,ev_0006038,active,patronymic
