entity_id,entity_type,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes,is_lexical_exception
ttn_012719,given,female,Инзилә,Инзиля,Inzila,Inzilia,zags_2025,ev_0010161,active,given,false
ttn_012721,given,female,Инзирә,Инзира,Inzira,Inzira,zags_2025,ev_0010162,active,given,false
ttn_012727,surname,male,Инилев,Инилев,Inilev,Inilev,zags_2025,ev_0014177,active,surname,false
ttn_012728,surname,female,Инилева,Инилева,Inileva,Inileva,zags_2025,ev_0014178,active,surname,false
ttn_012731,given,male,Инил,Иниль,Inil,Inil,zags_2025,ev_0004216,active,given,false
ttn_012732,given,male,Инсан,Инсан,Insan,Insan,zags_2025,ev_0004219,active,given,false
ttn_012735,given,female,Инсания,Инсания,Insaniya,Insaniia,zags_2025,ev_0010163,active,given,false
ttn_012736,surname,male,Инсанов,Инсанов,Insanov,Insanov,zags_2025,ev_0014179,active,surname,false
ttn_012737,surname,female,Инсанова,Инсанова,Insanova,Insanova,zags_2025,ev_0014180,active,surname,false
ttn_012740,given,male,Инсар,Инсар,Insar,Insar,zags_2025,ev_0004222,active,given,false
ttn_012743,surname,male,Инсаров,Инсаров,Insarov,Insarov,zags_2025,ev_0014181,active,surname,false
ttn_012744,surname,female,Инсарова,Инсарова,Insarova,Insarova,zags_2025,ev_0014182,active,surname,false
ttn_012747,given,male,Инсаф,Инсаф,Insaf,Insaf,zags_2025,ev_0004225,active,given,false
ttn_012750,given,male,Инсафетдин,Инсафетдин,Insafetdin,Insafetdin,zags_2025,ev_0004228,active,given,false
ttn_012753,surname,male,Инсафетдинов,Инсафетдинов,Insafetdinov,Insafetdinov,zags_2025,ev_0014183,active,surname,false
ttn_012754,surname,female,Инсафетдинова,Инсафетдинова,Insafetdinova,Insafetdinova,zags_2025,ev_0014184,active,surname,false
ttn_012757,given,female,Инсафия,Инсафия,Insafiya,Insafiia,zags_2025,ev_0010164,active,given,false
ttn_012758,surname,male,Инсафов,Инсафов,Insafov,Insafov,zags_2025,ev_0014185,active,surname,false
ttn_012759,surname,female,Инсафова,Инсафова,Insafova,Insafova,zags_2025,ev_0014186,active,surname,false
ttn_012762,given,female,Ирада,Ирада,Irada,Irada,zags_2025,ev_0010165,active,given,false
