review_id,subject_kind,subject_id,queue_reason,suggested_relation,source_id,evidence_id,notes
rq_0000140,excluded_entity,ttn_000352,generated_patronymic,review_candidate,zags_2025,ev_0000176,patronymic
rq_0000141,excluded_entity,ttn_000353,generated_patronymic,review_candidate,zags_2025,ev_0000177,patronymic
rq_0000142,excluded_entity,ttn_000357,generated_patronymic,review_candidate,zags_2025,ev_0000173,patronymic
rq_0000143,excluded_entity,ttn_000358,generated_patronymic,review_candidate,zags_2025,ev_0000174,patronymic
rq_0000144,excluded_entity,ttn_000361,generated_patronymic,review_candidate,zags_2025,ev_0000179,patronymic
rq_0000145,excluded_entity,ttn_000362,generated_patronymic,review_candidate,zags_2025,ev_0000180,patronymic
rq_0000146,excluded_entity,ttn_000367,generated_patronymic,review_candidate,zags_2025,ev_0000182,patronymic
rq_0000147,excluded_entity,ttn_000368,generated_patronymic,review_candidate,zags_2025,ev_0000183,patronymic
rq_0000148,excluded_entity,ttn_000372,generated_patronymic,review_candidate,zags_2025,ev_0000185,patronymic
rq_0000149,excluded_entity,ttn_000373,generated_patronymic,review_candidate,zags_2025,ev_0000186,patronymic
rq_0000150,excluded_entity,ttn_000377,generated_patronymic,review_candidate,zags_2025,ev_0000188,patronymic
rq_0000151,excluded_entity,ttn_000378,generated_patronymic,review_candidate,zags_2025,ev_0000189,patronymic
rq_0000152,excluded_entity,ttn_000384,generated_patronymic,review_candidate,zags_2025,ev_0000194,patronymic
rq_0000153,excluded_entity,ttn_000385,generated_patronymic,review_candidate,zags_2025,ev_0000195,patronymic
rq_0000154,excluded_entity,ttn_000392,generated_patronymic,review_candidate,zags_2025,ev_0000197,patronymic
rq_0000155,excluded_entity,ttn_000393,generated_patronymic,review_candidate,zags_2025,ev_0000198,patronymic
rq_0000156,excluded_entity,ttn_000401,generated_patronymic,review_candidate,zags_2025,ev_0000200,patronymic
rq_0000157,excluded_entity,ttn_000402,generated_patronymic,review_candidate,zags_2025,ev_0000201,patronymic
rq_0000158,excluded_entity,ttn_000410,generated_patronymic,review_candidate,zags_2025,ev_0000203,patronymic
rq_0000159,excluded_entity,ttn_000411,generated_patronymic,review_candidate,zags_2025,ev_0000204,patronymic
rq_0000160,excluded_entity,ttn_000421,generated_patronymic,review_candidate,zags_2025,ev_0000191,patronymic
rq_0000161,excluded_entity,ttn_000422,generated_patronymic,review_candidate,zags_2025,ev_0000192,patronymic
rq_0000162,excluded_entity,ttn_000428,generated_patronymic,review_candidate,zags_2025,ev_0000206,patronymic
rq_0000163,excluded_entity,ttn_000429,generated_patronymic,review_candidate,zags_2025,ev_0000207,patronymic
rq_0000164,excluded_entity,ttn_000435,generated_patronymic,review_candidate,zags_2025,ev_0000209,patronymic
rq_0000165,excluded_entity,ttn_000436,generated_patronymic,review_candidate,zags_2025,ev_0000210,patronymic
rq_0000166,excluded_entity,ttn_000439,generated_patronymic,review_candidate,zags_2025,ev_0000212,patronymic
rq_0000167,excluded_entity,ttn_000440,generated_patronymic,review_candidate,zags_2025,ev_0000213,patronymic
rq_0000168,excluded_entity,ttn_000447,generated_patronymic,review_candidate,zags_2025,ev_0000215,patronymic
rq_0000169,excluded_entity,ttn_000448,generated_patronymic,review_candidate,zags_2025,ev_0000216,patronymic
rq_0000170,excluded_entity,ttn_000459,generated_patronymic,review_candidate,zags_2025,ev_0000218,patronymic
rq_0000171,excluded_entity,ttn_000460,generated_patronymic,review_candidate,zags_2025,ev_0000219,patronymic
rq_0000172,excluded_entity,ttn_000466,generated_patronymic,review_candidate,zags_2025,ev_0000221,patronymic
rq_0000173,excluded_entity,ttn_000467,generated_patronymic,review_candidate,zags_2025,ev_0000222,patronymic
rq_0000174,excluded_entity,ttn_000473,generated_patronymic,review_candidate,zags_2025,ev_0000224,patronymic
rq_0000175,excluded_entity,ttn_000474,generated_patronymic,review_candidate,zags_2025,ev_0000225,patronymic
rq_0000176,excluded_entity,ttn_000479,generated_patronymic,review_candidate,zags_2025,ev_0000227,patronymic
