name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_010972,surname,female,unknown,tatar_registry,Зиннәтханова,Зиннатханова,Zinnatxanova,Zinnatkhanova,Зиннатханова,Зиннәтханова,Зиннатханова,zags_2025,ev_0013880,active,surname
ttn_010975,given,male,unknown,tatar_registry,Зиннәтша,Зиннатша,Zinnatsha,Zinnatsha,Зиннатша,Зиннәтша,Зиннатша,zags_2025,ev_0003772,active,given
ttn_010978,surname,male,unknown,tatar_registry,Зиннәтшин,Зиннатшин,Zinnatshin,Zinnatshin,Зиннатшин,Зиннәтшин,Зиннатшин,zags_2025,ev_0013881,active,surname
ttn_010979,surname,female,unknown,tatar_registry,Зиннәтшина,Зиннатшина,Zinnatshina,Zinnatshina,Зиннатшина,Зиннәтшина,Зиннатшина,zags_2025,ev_0013882,active,surname
ttn_010980,given,male,unknown,tatar_registry,Зиннур,Зиннур,Zinnur,Zinnur,Зиннур,Зиннур,Зиннур,zags_2025,ev_0003775,active,given
ttn_010983,surname,male,unknown,tatar_registry,Зиннуров,Зиннуров,Zinnurov,Zinnurov,Зиннуров,Зиннуров,Зиннуров,zags_2025,ev_0013883,active,surname
ttn_010984,surname,female,unknown,tatar_registry,Зиннурова,Зиннурова,Zinnurova,Zinnurova,Зиннурова,Зиннурова,Зиннурова,zags_2025,ev_0013884,active,surname
ttn_011019,given,male,unknown,tatar_registry,Зирәк,Зиряк,Zirak,Ziriak,Зиряк,Зирәк,Зиряк,zags_2025,ev_0003778,active,given
ttn_011020,surname,male,unknown,tatar_registry,Зирәков,Зиряков,Zirakov,Ziriakov,Зиряков,Зирәков,Зиряков,zags_2025,ev_0013885,active,surname
ttn_011021,surname,female,unknown,tatar_registry,Зирәкова,Зирякова,Zirakova,Ziriakova,Зирякова,Зирәкова,Зирякова,zags_2025,ev_0013886,active,surname
ttn_011029,given,female,unknown,tatar_registry,Зифа,Зифа,Zifa,Zifa,Зифа,Зифа,Зифа,zags_2025,ev_0010074,active,given
ttn_011030,given,female,unknown,tatar_registry,Зифабану,Зифабану,Zifabanu,Zifabanu,Зифабану,Зифабану,Зифабану,zags_2025,ev_0010075,active,given
ttn_011031,given,female,unknown,tatar_registry,Зифагөл,Зифагуль,Zifagol,Zifagul,Зифагуль,Зифагөл,Зифагуль,zags_2025,ev_0010076,active,given
ttn_011033,given,female,unknown,tatar_registry,Зифанур,Зифанур,Zifanur,Zifanur,Зифанур,Зифанур,Зифанур,zags_2025,ev_0010077,active,given
ttn_011034,given,female,unknown,tatar_registry,Зифасылу,Зифасылу,Zifasylu,Zifasylu,Зифасылу,Зифасылу,Зифасылу,zags_2025,ev_0010078,active,given
ttn_011035,given,male,unknown,tatar_registry,Зыя,Зия,Zyya,Ziia,Зия,Зыя,Зия,zags_2025,ev_0003781,active,given
ttn_011036,surname,male,unknown,tatar_registry,Зыяев,Зияев,Zyyaev,Ziiaev,Зияев,Зыяев,Зияев,zags_2025,ev_0013887,active,surname
ttn_011037,surname,female,unknown,tatar_registry,Зыяева,Зияева,Zyyaeva,Ziiaeva,Зияева,Зыяева,Зияева,zags_2025,ev_0013888,active,surname
ttn_011040,given,male,unknown,tatar_registry,Зыямөхәммәт,Зиямухаммет,Zyyamoxammat,Ziiamukhammet,Зиямухаммет,Зыямөхәммәт,Зиямухаммет,zags_2025,ev_0003784,active,given
ttn_011041,surname,male,unknown,tatar_registry,Зыямөхәммәтов,Зиямухамметов,Zyyamoxammatov,Ziiamukhammetov,Зиямухамметов,Зыямөхәммәтов,Зиямухамметов,zags_2025,ev_0013889,active,surname
ttn_011042,surname,female,unknown,tatar_registry,Зыямөхәммәтова,Зиямухамметова,Zyyamoxammatova,Ziiamukhammetova,Зиямухамметова,Зыямөхәммәтова,Зиямухамметова,zags_2025,ev_0013890,active,surname
ttn_011045,given,male,unknown,tatar_registry,Зыятдин,Зиятдин,Zyyatdin,Ziiatdin,Зиятдин,Зыятдин,Зиятдин,zags_2025,ev_0003787,active,given
ttn_011046,surname,male,unknown,tatar_registry,Зыятдинов,Зиятдинов,Zyyatdinov,Ziiatdinov,Зиятдинов,Зыятдинов,Зиятдинов,zags_2025,ev_0013891,active,surname
ttn_011047,surname,female,unknown,tatar_registry,Зыятдинова,Зиятдинова,Zyyatdinova,Ziiatdinova,Зиятдинова,Зыятдинова,Зиятдинова,zags_2025,ev_0013892,active,surname
ttn_011050,given,male,unknown,tatar_registry,Зыятҗан,Зиятзян,Zyyatcan,Ziiatzian,Зиятзян,Зыятҗан,Зиятзян,zags_2025,ev_0003790,active,given
ttn_011051,surname,male,unknown,tatar_registry,Зыятҗанов,Зиятзянов,Zyyatcanov,Ziiatzianov,Зиятзянов,Зыятҗанов,Зиятзянов,zags_2025,ev_0013893,active,surname
ttn_011052,surname,female,unknown,tatar_registry,Зыятҗанова,Зиятзянова,Zyyatcanova,Ziiatzianova,Зиятзянова,Зыятҗанова,Зиятзянова,zags_2025,ev_0013894,active,surname
ttn_011055,given,male,unknown,tatar_registry,Зыятулла,Зиятулла,Zyyatulla,Ziiatulla,Зиятулла,Зыятулла,Зиятулла,zags_2025,ev_0003793,active,given
ttn_011056,surname,male,unknown,tatar_registry,Зыятуллин,Зиятуллин,Zyyatullin,Ziiatullin,Зиятуллин,Зыятуллин,Зиятуллин,zags_2025,ev_0013895,active,surname
ttn_011057,surname,female,unknown,tatar_registry,Зыятуллина,Зиятуллина,Zyyatullina,Ziiatullina,Зиятуллина,Зыятуллина,Зиятуллина,zags_2025,ev_0013896,active,surname
ttn_011060,given,male,unknown,tatar_registry,Зыятхан,Зиятхан,Zyyatxan,Ziiatkhan,Зиятхан,Зыятхан,Зиятхан,zags_2025,ev_0003796,active,given
ttn_011061,surname,male,unknown,tatar_registry,Зыятханов,Зиятханов,Zyyatxanov,Ziiatkhanov,Зиятханов,Зыятханов,Зиятханов,zags_2025,ev_0013897,active,surname
ttn_011062,surname,female,unknown,tatar_registry,Зыятханова,Зиятханова,Zyyatxanova,Ziiatkhanova,Зиятханова,Зыятханова,Зиятханова,zags_2025,ev_0013898,active,surname
